"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"Silver Platform - I wanna get your heart -" "SuperNOVA2" 1 0 140 140 140 4 5 7 11 NA 0 0
"SOUL CRASH" "SuperNOVA2" 1 0 142 142 142 3 6 9 13 NA 0 0
"Star Gate Heaven (FUTURE LOVE Mix)" "SuperNOVA2" 1 0 147 148 147 4 5 9 12 NA 0 0
"STARS (Re-tuned by HAL) - DDR EDITION -" "SuperNOVA2" 1 0 145 145 145 3 5 10 9 NA 0 0
"stealth" "SuperNOVA2" 1 0 160 161 160 3 5 8 11 NA 0 0
"SUNKiSS DROP~Alison Side~" "SuperNOVA2" 1 1 185 186 185 3 5 8 12 12 0 0
"switch" "SuperNOVA2" 1 0 152 153 152 3 4 7 10 NA 0 0
"Trim" "SuperNOVA2" 1 0 85 340 0 5 6 10 16 NA 0 0
"TRIP MACHINE PhoeniX" "SuperNOVA2" 1 1 80 160 0 3 8 12 15 15 0 0
"Trust -DanceDanceRevolution mix-" "SuperNOVA2" 1 0 164 164 164 3 5 8 10 NA 0 0
"Unreal" "SuperNOVA2" 1 0 90 180 0 4 8 12 15 NA 0 0
"Uranus" "SuperNOVA2" 1 1 81 162 0 3 6 9 11 13 0 0
"Vem brincar" "SuperNOVA2" 1 0 135 135 135 2 5 7 11 NA 0 0
"Venus" "SuperNOVA2" 1 1 195 196 195 3 4 7 11 13 0 0
"volcano" "SuperNOVA2" 1 0 240 240 240 4 5 8 13 NA 0 0
"Votum stellarum -forest #25 DDR RMX-" "SuperNOVA2" 1 0 140 140 140 1 4 9 12 NA 0 0
"Why not" "SuperNOVA2" 1 0 175 176 175 4 6 9 11 NA 0 0
"30 Lives (Up-Up-Down-Dance Mix)" "X" 1 0 144 144 144 2 4 7 8 NA 0 0
"A Geisha's Dream" "X" 1 0 140 140 140 2 6 9 11 NA 0 0
"AFRONOVA(X-Special)" "X" 0 1 200 200 200 NA NA NA NA 13 0 0
"Beautiful Inside (Cube Hard Mix)" "X" 1 0 110 110 110 3 5 7 10 NA 0 0
"Blue Rain" "X" 1 1 144 144 144 2 5 6 11 14 0 0
"CANDY(X-Special)" "X" 0 1 192 193 192 NA NA NA NA 12 0 0
"Chance and Dice" "X" 1 0 150 150 150 3 5 7 9 NA 0 0
